walk_index,terminal_position,scaled_terminal
0,24,0.758947
1,-14,-0.442719
2,34,1.07517
3,26,0.822192
4,-34,-1.07517
5,12,0.379473
6,-4,-0.126491
7,10,0.316228
8,26,0.822192
9,-62,-1.96061
10,4,0.126491
11,-56,-1.77088
12,-24,-0.758947
13,6,0.189737
14,34,1.07517
15,4,0.126491
16,4,0.126491
17,-78,-2.46658
18,-2,-0.0632456
19,-28,-0.885438
20,-18,-0.56921
21,2,0.0632456
22,20,0.632456
23,-30,-0.948683
24,50,1.58114
25,-16,-0.505964
26,-2,-0.0632456
27,34,1.07517
28,-6,-0.189737
29,24,0.758947
30,70,2.21359
31,2,0.0632456
32,-26,-0.822192
33,-30,-0.948683
34,-10,-0.316228
35,-24,-0.758947
36,54,1.70763
37,-58,-1.83412
38,8,0.252982
39,-16,-0.505964
40,-18,-0.56921
41,52,1.64438
42,-14,-0.442719
43,-46,-1.45465
44,-8,-0.252982
45,14,0.442719
46,8,0.252982
47,-38,-1.20167
48,-20,-0.632456
49,40,1.26491
50,88,2.7828
51,10,0.316228
52,-20,-0.632456
53,8,0.252982
54,12,0.379473
55,8,0.252982
56,-12,-0.379473
57,-20,-0.632456
58,16,0.505964
59,8,0.252982
60,-46,-1.45465
61,24,0.758947
62,50,1.58114
63,16,0.505964
64,-24,-0.758947
65,28,0.885438
66,-4,-0.126491
67,-16,-0.505964
68,62,1.96061
69,-62,-1.96061
70,36,1.13842
71,0,0
72,42,1.32816
73,12,0.379473
74,-8,-0.252982
75,-6,-0.189737
76,-12,-0.379473
77,8,0.252982
78,22,0.695701
79,-74,-2.34009
80,0,0
81,0,0
82,2,0.0632456
83,18,0.56921
84,-20,-0.632456
85,0,0
86,-8,-0.252982
87,10,0.316228
88,-28,-0.885438
89,54,1.70763
90,12,0.379473
91,32,1.01193
92,14,0.442719
93,-48,-1.51789
94,-30,-0.948683
95,14,0.442719
96,2,0.0632456
97,4,0.126491
98,12,0.379473
99,-10,-0.316228
100,-2,-0.0632456
101,-4,-0.126491
102,-20,-0.632456
103,-66,-2.0871
104,-16,-0.505964
105,10,0.316228
106,-24,-0.758947
107,-6,-0.189737
108,-30,-0.948683
109,4,0.126491
110,-20,-0.632456
111,10,0.316228
112,26,0.822192
113,32,1.01193
114,16,0.505964
115,10,0.316228
116,-34,-1.07517
117,4,0.126491
118,4,0.126491
119,46,1.45465
120,20,0.632456
121,60,1.89737
122,18,0.56921
123,-16,-0.505964
124,84,2.65631
125,-20,-0.632456
126,-34,-1.07517
127,8,0.252982
128,6,0.189737
129,-2,-0.0632456
130,10,0.316228
131,-16,-0.505964
132,-2,-0.0632456
133,-46,-1.45465
134,10,0.316228
135,-24,-0.758947
136,-16,-0.505964
137,-28,-0.885438
138,-54,-1.70763
139,-26,-0.822192
140,-14,-0.442719
141,26,0.822192
142,24,0.758947
143,-36,-1.13842
144,24,0.758947
145,-6,-0.189737
146,26,0.822192
147,-22,-0.695701
148,-14,-0.442719
149,6,0.189737
150,-74,-2.34009
151,26,0.822192
152,2,0.0632456
153,-24,-0.758947
154,-38,-1.20167
155,6,0.189737
156,-14,-0.442719
157,6,0.189737
158,-2,-0.0632456
159,10,0.316228
160,-68,-2.15035
161,-4,-0.126491
162,6,0.189737
163,-16,-0.505964
164,-54,-1.70763
165,12,0.379473
166,-14,-0.442719
167,16,0.505964
168,-30,-0.948683
169,-8,-0.252982
170,-10,-0.316228
171,-34,-1.07517
172,24,0.758947
173,14,0.442719
174,-10,-0.316228
175,-10,-0.316228
