t,variance,variance_over_t,theory_variance
0,0,0,0
1,0.999984,0.999984,1
2,1.99357,0.996784,2
3,3.02718,1.00906,3
4,4.0293,1.00733,4
5,5.03973,1.00795,5
6,6.02955,1.00493,6
7,7.05118,1.00731,7
8,7.9784,0.9973,8
9,9.03359,1.00373,9
10,10.0776,1.00776,10
11,11.0672,1.00611,11
12,12.0264,1.0022,12
13,12.9558,0.996598,13
14,13.9196,0.994257,14
15,14.861,0.990735,15
16,15.7736,0.985851,16
17,16.9975,0.999856,17
18,18.2064,1.01147,18
19,19.2054,1.01081,19
20,20.3635,1.01817,20
21,21.3859,1.01838,21
22,22.5631,1.02559,22
23,23.4634,1.02015,23
24,24.5789,1.02412,24
25,25.5953,1.02381,25
26,26.8597,1.03307,26
27,28.1032,1.04086,27
28,29.0949,1.0391,28
29,29.8981,1.03097,29
30,31.2993,1.04331,30
31,32.4057,1.04534,31
32,33.7231,1.05385,32
33,34.9006,1.05759,33
34,35.9281,1.05671,34
35,36.8635,1.05324,35
36,37.6782,1.04662,36
37,38.4991,1.04052,37
38,39.641,1.04318,38
39,40.9432,1.04983,39
40,41.9228,1.04807,40
41,42.8398,1.04487,41
42,43.7809,1.0424,42
43,44.7515,1.04073,43
44,45.5719,1.03573,44
45,46.6572,1.03683,45
46,47.6286,1.0354,46
47,48.4224,1.03026,47
48,49.5943,1.03321,48
49,50.8351,1.03745,49
50,52.0864,1.04173,50
51,52.7695,1.0347,51
52,53.8712,1.03598,52
53,54.7552,1.03312,53
54,55.4616,1.02707,54
55,56.4958,1.0272,55
56,57.0175,1.01817,56
57,58.1759,1.02063,57
58,59.3379,1.02307,58
59,60.2935,1.02192,59
60,60.9886,1.01648,60
61,62.166,1.01912,61
62,63.1226,1.01811,62
63,63.862,1.01368,63
64,64.691,1.0108,64
65,65.4098,1.00631,65
66,66.5078,1.00769,66
67,67.7798,1.01164,67
68,69.1885,1.01748,68
69,70.2116,1.01756,69
70,71.0019,1.01431,70
71,71.7908,1.01114,71
72,72.6431,1.00893,72
73,73.5827,1.00798,73
74,74.4633,1.00626,74
75,75.6796,1.00906,75
76,76.5772,1.0076,76
77,77.6133,1.00796,77
78,78.9563,1.01226,78
79,79.6939,1.00878,79
80,80.7127,1.00891,80
81,81.8938,1.01103,81
82,82.9707,1.01184,82
83,83.961,1.01158,83
84,85.0913,1.01299,84
85,86.2445,1.01464,85
86,86.6641,1.00772,86
87,87.8068,1.00927,87
88,88.9537,1.01084,88
89,90.1561,1.01299,89
90,91.3111,1.01457,90
91,92.2506,1.01374,91
92,93.5052,1.01636,92
93,94.6088,1.0173,93
94,95.7174,1.01827,94
95,96.9155,1.02016,95
96,98.3273,1.02424,96
97,99.8218,1.02909,97
98,100.87,1.02928,98
99,102.546,1.03582,99
100,103.38,1.0338,100
101,104.895,1.03857,101
102,106.162,1.04081,102
103,106.898,1.03784,103
104,108.331,1.04164,104
105,109.296,1.04091,105
106,110.159,1.03924,106
107,110.955,1.03696,107
108,111.578,1.03313,108
109,112.253,1.02984,109
110,113.186,1.02897,110
111,114.389,1.03053,111
112,115.348,1.02989,112
113,116.584,1.03172,113
114,117.668,1.03217,114
115,119.253,1.03698,115
116,119.861,1.03329,116
117,121.008,1.03426,117
118,121.929,1.0333,118
119,123.248,1.0357,119
120,124.036,1.03363,120
121,125.009,1.03313,121
122,126.105,1.03365,122
123,127.226,1.03435,123
124,127.614,1.02915,124
125,128.522,1.02817,125
126,129.764,1.02987,126
127,131.536,1.03572,127
128,132.634,1.0362,128
129,133.925,1.03818,129
130,135.179,1.03984,130
131,135.678,1.03571,131
132,136.902,1.03713,132
133,137.869,1.03661,133
134,138.806,1.03587,134
135,139.827,1.03575,135
136,140.808,1.03535,136
137,142.018,1.03663,137
138,143.611,1.04066,138
139,144.805,1.04176,139
140,145.845,1.04175,140
141,147.303,1.0447,141
142,148.256,1.04406,142
143,150.018,1.04908,143
144,150.91,1.04798,144
145,151.969,1.04806,145
146,153.296,1.04997,146
147,154.062,1.04804,147
148,155.135,1.04821,148
149,155.912,1.04639,149
150,156.651,1.04434,150
151,157.619,1.04384,151
152,158.431,1.04231,152
153,159.129,1.04006,153
154,160.163,1.04002,154
155,161.293,1.0406,155
156,162.672,1.04277,156
157,163.947,1.04425,157
158,164.635,1.04199,158
159,165.033,1.03795,159
160,165.87,1.03669,160
161,167.066,1.03767,161
162,167.667,1.03498,162
163,168.625,1.03451,163
164,169.964,1.03637,164
165,171.05,1.03667,165
166,172.489,1.03909,166
167,173.553,1.03924,167
168,174.528,1.03886,168
169,175.057,1.03584,169
170,175.143,1.03025,170
171,176.413,1.03165,171
172,176.967,1.02888,172
173,177.734,1.02736,173
174,178.182,1.02404,174
175,179.075,1.02328,175
176,179.603,1.02047,176
177,180.407,1.01925,177
178,181.414,1.01918,178
179,181.763,1.01544,179
180,182.925,1.01625,180
181,184.11,1.01718,181
182,184.899,1.01593,182
183,185.818,1.0154,183
184,186.149,1.01168,184
185,187.192,1.01185,185
186,188.727,1.01466,186
187,189.803,1.01499,187
188,190.714,1.01443,188
189,191.283,1.01208,189
190,192.43,1.01279,190
191,193.681,1.01404,191
192,194.466,1.01284,192
193,196.095,1.01604,193
194,196.594,1.01337,194
195,197.369,1.01215,195
196,199.217,1.01641,196
197,199.861,1.01453,197
198,201.147,1.0159,198
199,202.207,1.01612,199
200,203.236,1.01618,200
201,204.772,1.01876,201
202,205.504,1.01734,202
203,206.272,1.01612,203
204,207.574,1.01752,204
205,208.269,1.01595,205
206,208.873,1.01395,206
207,209.634,1.01273,207
208,211.263,1.01569,208
209,211.716,1.01299,209
210,212.272,1.01082,210
211,213.449,1.01161,211
212,214.673,1.01261,212
213,215.637,1.01238,213
214,216.646,1.01237,214
215,217.714,1.01262,215
216,218.868,1.01328,216
217,219.722,1.01254,217
218,220.051,1.00941,218
219,220.765,1.00806,219
220,222.382,1.01083,220
221,223.587,1.01171,221
222,224.8,1.01261,222
223,225.994,1.01342,223
224,226.924,1.01305,224
225,228.344,1.01486,225
226,229.549,1.0157,226
227,229.668,1.01175,227
228,230.769,1.01215,228
229,231.986,1.01304,229
230,232.837,1.01233,230
231,234.258,1.0141,231
232,234.64,1.01138,232
233,234.894,1.00813,233
234,235.415,1.00605,234
235,236.82,1.00774,235
236,237.972,1.00835,236
237,238.518,1.00641,237
238,239.322,1.00556,238
239,240.344,1.00562,239
240,241.073,1.00447,240
241,242.245,1.00517,241
242,243.167,1.00482,242
243,244.34,1.00552,243
244,244.562,1.0023,244
245,246.163,1.00474,245
246,246.854,1.00347,246
247,248.27,1.00514,247
248,249.735,1.007,248
249,250.619,1.0065,249
250,253.028,1.01211,250
251,254.211,1.01279,251
252,254.323,1.00922,252
253,255.305,1.00911,253
254,257.261,1.01284,254
255,259.481,1.01757,255
256,260.766,1.01862,256
257,262.001,1.01946,257
258,263.72,1.02217,258
259,265.81,1.02629,259
260,266.877,1.02645,260
261,267.215,1.02381,261
262,267.848,1.02232,262
263,269.312,1.024,263
264,269.49,1.02079,264
265,270.171,1.01951,265
266,270.816,1.01811,266
267,272.369,1.02011,267
268,273.604,1.02091,268
269,274.399,1.02007,269
270,274.818,1.01784,270
271,276.489,1.02025,271
272,276.936,1.01815,272
273,277.5,1.01648,273
274,279.353,1.01954,274
275,279.703,1.0171,275
276,280.583,1.01661,276
277,282.056,1.01825,277
278,282.312,1.01551,278
279,283.883,1.0175,279
280,285.082,1.01815,280
281,286.987,1.02131,281
282,287.955,1.02112,282
283,288.927,1.02094,283
284,289.611,1.01976,284
285,291.237,1.02189,285
286,292.393,1.02235,286
287,293.155,1.02145,287
288,293.812,1.02018,288
289,295.078,1.02103,289
290,296.873,1.0237,290
291,298.206,1.02476,291
292,299.246,1.02482,292
293,300.344,1.02506,293
294,300.836,1.02325,294
295,301.829,1.02315,295
296,302.97,1.02355,296
297,303.331,1.02132,297
298,305.186,1.02411,298
299,306.777,1.02601,299
300,308.601,1.02867,300
301,308.956,1.02643,301
302,309.81,1.02586,302
303,311.277,1.02732,303
304,312.547,1.02812,304
305,313.592,1.02817,305
306,314.07,1.02637,306
307,314.386,1.02406,307
308,315.145,1.0232,308
309,316.582,1.02454,309
310,317.558,1.02438,310
311,318.258,1.02334,311
312,318.293,1.02017,312
313,318.402,1.01726,313
314,319.266,1.01677,314
315,320.273,1.01674,315
316,320.876,1.01543,316
317,322.023,1.01585,317
318,323.41,1.01701,318
319,324.38,1.01687,319
320,325.919,1.0185,320
321,327.148,1.01915,321
322,328.516,1.02024,322
323,329.825,1.02113,323
324,331.087,1.02187,324
